,2010,2013,2016
Domestic,9494766.15 ,8815373.27 ,8550169.63 
Industrial and Commercial,10517098.25 ,6915481.59 ,9104235.82 
Miscellaneous,0.00 ,0.00 ,0.00 
Resuspension,0.00 ,0.00 ,0.00 
Transport,11631941.62 ,10909592.13 ,10860959.41 
