,2010,2013,2016
Domestic,1523.91 ,1239.82 ,1060.79 
Industrial and Commercial,1985.02 ,1634.82 ,1713.26 
Miscellaneous,124.52 ,96.22 ,95.61 
Resuspension,60.79 ,58.76 ,59.58 
Transport,2168.26 ,1868.02 ,1714.67 
