,2010,2013,2016
Domestic,1525.52 ,1241.57 ,1062.27 
Industrial and Commercial,4325.54 ,3574.44 ,3911.56 
Miscellaneous,156.52 ,125.13 ,128.41 
Resuspension,1652.91 ,1597.22 ,1618.48 
Transport,3488.46 ,3120.39 ,3009.74 
